title,description,text,effort_hours
Gestion des fichiers joints,"Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation","Gestion des fichiers joints Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation",15.3
Intelligence artificielle de détection de fraude,Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,Intelligence artificielle de détection de fraude Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,62.4
Développer : Système de cache distribué,Mise en place de Redis pour la mise en cache distribuée sur plusieurs instances serveur,Développer : Système de cache distribué Mise en place de Redis pour la mise en cache distribuée sur plusieurs instances serveur,26.0
Créer Système de cache distribué,Mise en place de Redis pour la mise en cache distribuée sur plusieurs instances serveur,Créer Système de cache distribué Mise en place de Redis pour la mise en cache distribuée sur plusieurs instances serveur,30.5
Créer Système de recommandation de produits,Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,Créer Système de recommandation de produits Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,57.5
Système de vidéoconférence intégrée,Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,Système de vidéoconférence intégrée Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,60.9
Ajouter la fonctionnalité : Affichage des commentaires,"Liste des commentaires sous un article, sans modération","Ajouter la fonctionnalité : Affichage des commentaires Liste des commentaires sous un article, sans modération",5.6
Mettre en place Système de validation en plusieurs étapes,"Workflow d'approbation à plusieurs niveaux (soumission, revue, validation finale)","Mettre en place Système de validation en plusieurs étapes Workflow d'approbation à plusieurs niveaux (soumission, revue, validation finale)",17.1
Créer Système de reconnaissance d'image,Intégration d'un modèle de vision par ordinateur pour classifier des images uploadées,Créer Système de reconnaissance d'image Intégration d'un modèle de vision par ordinateur pour classifier des images uploadées,63.2
Créer table des catégories,"CRUD basique pour gérer des catégories (ajout, édition, suppression)","Créer table des catégories CRUD basique pour gérer des catégories (ajout, édition, suppression)",8.0
Créer Module d'analyse prédictive,Tableau de bord utilisant un modèle prédictif pour anticiper des tendances métier,Créer Module d'analyse prédictive Tableau de bord utilisant un modèle prédictif pour anticiper des tendances métier,37.5
Mettre en place Gestion des fichiers joints,"Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation","Mettre en place Gestion des fichiers joints Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation",16.9
Créer Upload et gestion d'images,Permettre l'upload d'images avec redimensionnement et stockage sécurisé,Créer Upload et gestion d'images Permettre l'upload d'images avec redimensionnement et stockage sécurisé,13.3
Ajouter la fonctionnalité : Automatisation complète des tests avec IA,Génération automatique de scénarios de test à partir de l'analyse du code par IA,Ajouter la fonctionnalité : Automatisation complète des tests avec IA Génération automatique de scénarios de test à partir de l'analyse du code par IA,49.4
Développer : Système de messagerie interne,"Chat simple entre utilisateurs avec historique des messages, sans temps réel","Développer : Système de messagerie interne Chat simple entre utilisateurs avec historique des messages, sans temps réel",19.5
Ajouter la fonctionnalité : Chatbot intelligent avec NLP,Assistant conversationnel utilisant le traitement du langage naturel pour répondre aux questions clients,Ajouter la fonctionnalité : Chatbot intelligent avec NLP Assistant conversationnel utilisant le traitement du langage naturel pour répondre aux questions clients,61.8
Créer Système de notifications,Notifications en base de données affichées dans une cloche avec compteur non lus,Créer Système de notifications Notifications en base de données affichées dans une cloche avec compteur non lus,20.3
Mettre en place Système de messagerie en temps réel,"Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne","Mettre en place Système de messagerie en temps réel Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne",46.7
Mettre en place Synchronisation temps réel multi-utilisateurs,Édition collaborative en temps réel avec gestion des conflits entre plusieurs utilisateurs,Mettre en place Synchronisation temps réel multi-utilisateurs Édition collaborative en temps réel avec gestion des conflits entre plusieurs utilisateurs,52.9
Ajouter la fonctionnalité : Page à propos statique,Page HTML statique avec texte de présentation de l'entreprise,Ajouter la fonctionnalité : Page à propos statique Page HTML statique avec texte de présentation de l'entreprise,1.7
Créer Système de recherche full-text avec Elasticsearch,Intégration d'un moteur de recherche performant avec indexation et pertinence des résultats,Créer Système de recherche full-text avec Elasticsearch Intégration d'un moteur de recherche performant avec indexation et pertinence des résultats,31.0
Mettre en place Intégration paiement en ligne,"Ajouter Stripe pour permettre aux clients de payer leurs commandes, avec gestion des erreurs et webhook de confirmation","Mettre en place Intégration paiement en ligne Ajouter Stripe pour permettre aux clients de payer leurs commandes, avec gestion des erreurs et webhook de confirmation",43.7
Mettre en place Page de contact avec carte,Formulaire de contact avec une carte Google Maps intégrée,Mettre en place Page de contact avec carte Formulaire de contact avec une carte Google Maps intégrée,6.4
Ajouter la fonctionnalité : Système de validation en plusieurs étapes,"Workflow d'approbation à plusieurs niveaux (soumission, revue, validation finale)","Ajouter la fonctionnalité : Système de validation en plusieurs étapes Workflow d'approbation à plusieurs niveaux (soumission, revue, validation finale)",18.9
Ajouter un champ de recherche,Barre de recherche simple qui filtre une liste côté client,Ajouter un champ de recherche Barre de recherche simple qui filtre une liste côté client,3.7
Développer : Ajouter bouton de suppression,Bouton pour supprimer un élément avec une confirmation basique,Développer : Ajouter bouton de suppression Bouton pour supprimer un élément avec une confirmation basique,3.1
Mettre en place Ajout d'un système de favoris,Bouton pour ajouter/retirer un élément des favoris de l'utilisateur,Mettre en place Ajout d'un système de favoris Bouton pour ajouter/retirer un élément des favoris de l'utilisateur,6.6
Développer : Export CSV simple,Bouton pour exporter une liste en fichier CSV basique,Développer : Export CSV simple Bouton pour exporter une liste en fichier CSV basique,5.7
Intégration d'un système de tags dynamiques,Auto-complétion de tags existants lors de la saisie,Intégration d'un système de tags dynamiques Auto-complétion de tags existants lors de la saisie,11.0
Export PDF de rapport,Génération de rapports PDF dynamiques avec mise en page personnalisée,Export PDF de rapport Génération de rapports PDF dynamiques avec mise en page personnalisée,11.4
Développer : Système de messagerie interne,"Chat simple entre utilisateurs avec historique des messages, sans temps réel","Développer : Système de messagerie interne Chat simple entre utilisateurs avec historique des messages, sans temps réel",20.8
Développer : Intégration webhook multi-services,Système d'événements sortants vers plusieurs services externes avec retry automatique,Développer : Intégration webhook multi-services Système d'événements sortants vers plusieurs services externes avec retry automatique,30.7
Mettre en place Intelligence artificielle de détection de fraude,Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,Mettre en place Intelligence artificielle de détection de fraude Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,64.6
Créer Afficher liste des utilisateurs,Page qui affiche la liste des utilisateurs avec pagination simple,Créer Afficher liste des utilisateurs Page qui affiche la liste des utilisateurs avec pagination simple,5.2
Mettre en place Gestion des fichiers joints,"Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation","Mettre en place Gestion des fichiers joints Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation",16.6
Ajouter la fonctionnalité : Page de contact avec carte,Formulaire de contact avec une carte Google Maps intégrée,Ajouter la fonctionnalité : Page de contact avec carte Formulaire de contact avec une carte Google Maps intégrée,5.6
Créer Gestion des fichiers joints,"Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation","Créer Gestion des fichiers joints Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation",16.7
Ajouter la fonctionnalité : Intelligence artificielle de détection de fraude,Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,Ajouter la fonctionnalité : Intelligence artificielle de détection de fraude Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,56.9
Ajouter un champ de recherche,Barre de recherche simple qui filtre une liste côté client,Ajouter un champ de recherche Barre de recherche simple qui filtre une liste côté client,4.0
Liste des produits avec filtres simples,Affichage produits avec filtre par catégorie uniquement,Liste des produits avec filtres simples Affichage produits avec filtre par catégorie uniquement,7.9
Développer : Upload et gestion d'images,Permettre l'upload d'images avec redimensionnement et stockage sécurisé,Développer : Upload et gestion d'images Permettre l'upload d'images avec redimensionnement et stockage sécurisé,13.9
Développer : Page 404 personnalisée,Page d'erreur personnalisée avec redirection vers l'accueil,Développer : Page 404 personnalisée Page d'erreur personnalisée avec redirection vers l'accueil,2.2
Créer Estimation automatique de l'effort par IA,Modèle de machine learning qui prédit l'effort nécessaire à partir de la description d'une tâche,Créer Estimation automatique de l'effort par IA Modèle de machine learning qui prédit l'effort nécessaire à partir de la description d'une tâche,50.4
Ajouter la fonctionnalité : Système de messagerie en temps réel,"Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne","Ajouter la fonctionnalité : Système de messagerie en temps réel Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne",39.8
Module de reporting avancé avec export multi-format,"Génération de rapports complexes avec agrégations, filtres dynamiques et export PDF/Excel","Module de reporting avancé avec export multi-format Génération de rapports complexes avec agrégations, filtres dynamiques et export PDF/Excel",32.4
Ajouter la fonctionnalité : Intégration webhook multi-services,Système d'événements sortants vers plusieurs services externes avec retry automatique,Ajouter la fonctionnalité : Intégration webhook multi-services Système d'événements sortants vers plusieurs services externes avec retry automatique,30.9
Créer Export CSV simple,Bouton pour exporter une liste en fichier CSV basique,Créer Export CSV simple Bouton pour exporter une liste en fichier CSV basique,5.2
Mettre en place Système de messagerie en temps réel,"Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne","Mettre en place Système de messagerie en temps réel Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne",40.7
Ajouter la fonctionnalité : Page à propos statique,Page HTML statique avec texte de présentation de l'entreprise,Ajouter la fonctionnalité : Page à propos statique Page HTML statique avec texte de présentation de l'entreprise,1.9
Développer : Système de notifications,Notifications en base de données affichées dans une cloche avec compteur non lus,Développer : Système de notifications Notifications en base de données affichées dans une cloche avec compteur non lus,18.7
Gestion des fichiers joints,"Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation","Gestion des fichiers joints Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation",16.6
Créer Système de commentaires avec modération,Commentaires avec système de signalement et validation par un admin,Créer Système de commentaires avec modération Commentaires avec système de signalement et validation par un admin,19.0
Moteur de scoring prédictif client,Modèle prédictif qui score les clients selon leur probabilité de conversion,Moteur de scoring prédictif client Modèle prédictif qui score les clients selon leur probabilité de conversion,49.6
Créer Système de cache distribué,Mise en place de Redis pour la mise en cache distribuée sur plusieurs instances serveur,Créer Système de cache distribué Mise en place de Redis pour la mise en cache distribuée sur plusieurs instances serveur,25.7
Développer : Upload et gestion d'images,Permettre l'upload d'images avec redimensionnement et stockage sécurisé,Développer : Upload et gestion d'images Permettre l'upload d'images avec redimensionnement et stockage sécurisé,14.5
Mettre en place Système d'authentification à deux facteurs,Ajout de la 2FA par SMS ou application d'authentification avec gestion de la récupération,Mettre en place Système d'authentification à deux facteurs Ajout de la 2FA par SMS ou application d'authentification avec gestion de la récupération,31.2
Ajouter la fonctionnalité : Système de recommandation de produits,Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,Ajouter la fonctionnalité : Système de recommandation de produits Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,54.8
Créer Système de vidéoconférence intégrée,Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,Créer Système de vidéoconférence intégrée Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,63.1
Créer Ajout d'un menu de navigation,Menu responsive avec liens vers les pages principales,Créer Ajout d'un menu de navigation Menu responsive avec liens vers les pages principales,4.6
Mettre en place Ajout d'un système de favoris,Bouton pour ajouter/retirer un élément des favoris de l'utilisateur,Mettre en place Ajout d'un système de favoris Bouton pour ajouter/retirer un élément des favoris de l'utilisateur,5.6
Développer : Système de rôles et permissions,"Gestion de rôles (admin, manager, user) avec permissions différenciées par page","Développer : Système de rôles et permissions Gestion de rôles (admin, manager, user) avec permissions différenciées par page",20.5
Développer : Page à propos statique,Page HTML statique avec texte de présentation de l'entreprise,Développer : Page à propos statique Page HTML statique avec texte de présentation de l'entreprise,2.0
Système de traduction automatique intégré,Traduction en temps réel du contenu de l'application dans plusieurs langues via un modèle NLP,Système de traduction automatique intégré Traduction en temps réel du contenu de l'application dans plusieurs langues via un modèle NLP,53.8
Mettre en place Page 404 personnalisée,Page d'erreur personnalisée avec redirection vers l'accueil,Mettre en place Page 404 personnalisée Page d'erreur personnalisée avec redirection vers l'accueil,1.8
Intégration paiement en ligne,"Ajouter Stripe pour permettre aux clients de payer leurs commandes, avec gestion des erreurs et webhook de confirmation","Intégration paiement en ligne Ajouter Stripe pour permettre aux clients de payer leurs commandes, avec gestion des erreurs et webhook de confirmation",35.4
Mettre en place Système de tags et étiquettes,Ajout d'un système de tags réutilisables sur plusieurs entités,Mettre en place Système de tags et étiquettes Ajout d'un système de tags réutilisables sur plusieurs entités,12.3
Créer Système de validation en plusieurs étapes,"Workflow d'approbation à plusieurs niveaux (soumission, revue, validation finale)","Créer Système de validation en plusieurs étapes Workflow d'approbation à plusieurs niveaux (soumission, revue, validation finale)",20.7
Développer : Système de reconnaissance d'image,Intégration d'un modèle de vision par ordinateur pour classifier des images uploadées,Développer : Système de reconnaissance d'image Intégration d'un modèle de vision par ordinateur pour classifier des images uploadées,56.6
Ajouter la fonctionnalité : Intégration API de paiement multiple,"Support de plusieurs passerelles de paiement (Stripe, PayPal, virement) avec réconciliation","Ajouter la fonctionnalité : Intégration API de paiement multiple Support de plusieurs passerelles de paiement (Stripe, PayPal, virement) avec réconciliation",47.9
Ajouter la fonctionnalité : Créer formulaire de contact,"Ajouter un formulaire simple avec nom, email et message, envoyé par mail","Ajouter la fonctionnalité : Créer formulaire de contact Ajouter un formulaire simple avec nom, email et message, envoyé par mail",6.3
Mettre en place Plateforme temps réel multi-tenant à grande échelle,Architecture supportant plusieurs organisations simultanément avec isolation des données et scalabilité,Mettre en place Plateforme temps réel multi-tenant à grande échelle Architecture supportant plusieurs organisations simultanément avec isolation des données et scalabilité,70.8
Développer : Ajouter bouton de suppression,Bouton pour supprimer un élément avec une confirmation basique,Développer : Ajouter bouton de suppression Bouton pour supprimer un élément avec une confirmation basique,3.2
Créer Ajout d'un menu de navigation,Menu responsive avec liens vers les pages principales,Créer Ajout d'un menu de navigation Menu responsive avec liens vers les pages principales,4.5
Système de recherche full-text avec Elasticsearch,Intégration d'un moteur de recherche performant avec indexation et pertinence des résultats,Système de recherche full-text avec Elasticsearch Intégration d'un moteur de recherche performant avec indexation et pertinence des résultats,34.1
Créer Afficher liste des utilisateurs,Page qui affiche la liste des utilisateurs avec pagination simple,Créer Afficher liste des utilisateurs Page qui affiche la liste des utilisateurs avec pagination simple,5.0
Mettre en place Recherche avancée avec filtres multiples,"Recherche avec plusieurs filtres combinés (date, catégorie, statut, prix)","Mettre en place Recherche avancée avec filtres multiples Recherche avec plusieurs filtres combinés (date, catégorie, statut, prix)",13.8
Créer Historique des actions utilisateur,Journal (log) qui trace les actions importantes effectuées par chaque utilisateur,Créer Historique des actions utilisateur Journal (log) qui trace les actions importantes effectuées par chaque utilisateur,15.6
Ajouter la fonctionnalité : Système de sécurité avec détection d'anomalies,Surveillance en temps réel du système avec détection d'anomalies via machine learning,Ajouter la fonctionnalité : Système de sécurité avec détection d'anomalies Surveillance en temps réel du système avec détection d'anomalies via machine learning,64.1
Créer Système de messagerie en temps réel,"Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne","Créer Système de messagerie en temps réel Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne",38.7
Page à propos statique,Page HTML statique avec texte de présentation de l'entreprise,Page à propos statique Page HTML statique avec texte de présentation de l'entreprise,2.0
Créer formulaire de contact,"Ajouter un formulaire simple avec nom, email et message, envoyé par mail","Créer formulaire de contact Ajouter un formulaire simple avec nom, email et message, envoyé par mail",5.5
Plateforme temps réel multi-tenant à grande échelle,Architecture supportant plusieurs organisations simultanément avec isolation des données et scalabilité,Plateforme temps réel multi-tenant à grande échelle Architecture supportant plusieurs organisations simultanément avec isolation des données et scalabilité,62.8
Ajouter la fonctionnalité : Moteur de scoring prédictif client,Modèle prédictif qui score les clients selon leur probabilité de conversion,Ajouter la fonctionnalité : Moteur de scoring prédictif client Modèle prédictif qui score les clients selon leur probabilité de conversion,60.8
